Customer Name,Address Line1,Address Line2,Address Line3,Address Line4,Postcode,Telephone,Mobile,Email,Web,VAT No,Company No,Contact Salutation,Contact First Name,Contact Last Name,Contact Position,Contact Email,Contact Phone,Contact Mobile,Industry
Denholm Shipping Services Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,023 8062 6990,023 8062 6999,,,,,,,,,,,,,
Denis M Clayton & Co Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Denne Group Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01227 723090,,,www.denne.co.uk,,,,,,,,,,,
Dennis Publishing,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7907 6000,,,,,,,,,,,,,,
Dennis Publishing2,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0171 631 1433,,,,,,,,,,,,,,
Denon & Marantz,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01753 680568,,,,,,,,,,,,,,
Denton Wilde Sapte,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7242 1212,,,www.dentonwildesapte.com,,,,,,,,,,,
Department For Education & Employment,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,7925 5000,,,,,,,,,,,,,,
Department of Health & Children (Eire),Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,+353 1 635 4000,,,,,,,,,,,,,,
Derbyshire County Council,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01629 58 00 00,,,,,,,,,,,,,,
Derwent Community Team,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Derwent Community Team,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,01332 716 295,,,,,,,,,,,,,
Design Clean Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7403 0890,,,www.designclean.uk.com,,,,,,,,,,,
Design One Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01564 786 800,,,www.designone.co.uk,,,,,,,,,,,
Destiny Digital,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01923 690 550,,,,,,,,,,,,,,
Devonport Royal Dockyard Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01752 605665,,,,,,,,,,,,,,
DGP International,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0161 907 3500,,,www.dgp.co.uk,,,,,,,,,,,
Diageo,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7927 5200,,,,,,,,,,,,,,
DiD Couriers,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Dig for Fire,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0114 2811200,0114 2810055,,www.digforfire.co.uk,,,,,,,,,,,
Digital Applications International,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,+44 20 7292 7500,,,http://www.dai.co.uk,,,,,,,,,,,
Digital Facilities Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0131 557 8833,,,,,,,,,,,,,,
Digital One,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7288 4600,,,www.digitalone.co.uk,,,,,,,,,,,
Direct Line Holidays,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0870 752 1331,,,,,,,,,,,,,,
Direct Personnel,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01256 799 993,,,,,,,,,,,,,,
Dishman Europe Limited,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(0)20 7323 0608,,,www.dishman-europe.com,,,,,,,,,,,
DLF Trifolium,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01386 793 135 (Worcs),,,http://www.perryfields.co.uk,,,,,,,,,,,
DMB & B Group,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 630 0000,,,,,,,,,,,,,,
DMG World Media,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8515 2000,020 8515 2088,,,,,,,,,,,,,
DMG World Media (Antiques Fair),Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0777 624 0157,,,,,,,,,,,,,,
Document SOS,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7498 8080,,,,,,,,,,,,,,
Dolby Laboratories,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01793 842 100,01793 842 101,,,,,,,,,,,,,
Domestic & General Group PLC,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8946 7777,,,www.domgen.com www.inkfish.co.uk,,,,,,,,,,,
Dominion Press,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Domino Systems,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01865 821821,01865 821881,,web@domino.com,,,,,,,,,,,
Doncaster & South Humber Healthcare NHS Trust,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01302 796000,,,,,,,,,,,,,,
Dorling Kindersley,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Dosh,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Downing College,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01223 334 800,,,,,,,,,,,,,,
DP CONNECT,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
DRAKE INTERNATIONAL,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Drayton Finch,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 496 0000,,,,,,,,,,,,,,
Dreams 2 Realty USA,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0845 0212107,,,www.dreams2realtyusa.com,,,,,,,,,,,
Driven By Dreams,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
"Duckworth, Finn, Grubb, Waters",Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0171 734 5888,,,,,,,,,,,,,,
Dudley Stationery,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Dukes of London,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7236 4000,,,,,,,,,,,,,,
Dun & Bradstreet,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP, 01494 422170,,,www.dnb.com,,,,,,,,,,,
Dun and Bradstreet,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01494 422 170,,,www.dnb.com,,,,,,,,,,,
Dun and Bradstreet,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01494 424393,,,,,,,,,,,,,,
Dunelm Mill,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0116 2644400,0116 2644459,,www.dunelm-mill.com,,,,,,,,,,,
DuPont,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01452 633 000,,,,,,,,,,,,,,
DuPont (Stevenage),Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01438 734 000,,,,,,,,,,,,,,
DuPont Corian,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01296 663555,,,,,,,,,,,,,,
Dural,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01924 360110,01924 888 609,,,,,,,,,,,,,
Durrants Press Cuttings,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 674 0200,0207 674 0222,,,,,,,,,,,,,
Dynamic Ads,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01642 355325,,,www.dynamicads.co.uk,,,,,,,,,,,
Dynamis Plc,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7864 9636,,,www.dynamis.co.uk,,,,,,,,,,,
e-peopleserve,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0800 783 6153,,,,,,,,,,,,,,
e-space,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7953 8522,,,,,,,,,,,,,,
E3 Media,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0117 902 1333,,,,,,,,,,,,,,
Eagle Direct,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,001 775 827 5517,,,,,,,,,,,,,
Eagle Global Logistics,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8755 5026,,,www.eaglegl.com,,,,,,,,,,,
Eagle Star Direct,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
East London & the City Mental Health NHS Trust,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
East London and the City Mental Health Trust,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7655 4010,,,,,,,,,,,,,,
East Sussex County Council,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01273 481196,,,,,,,,,,,,,,
Eastern Counties Newspapers Group,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01603 628 311,,,,,,,,,,,,,,
Eastern Eye Newspaper,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,7702 8012,,,,,,,,,,,,,,
ECHM,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP, 020 7304 9000,,,,,,,,,,,,,,
Echo,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Eclipse Executive,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01244 317 772,01244 317 773,,,,,,,,,,,,,
Eco Securities,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01865 202635,,,www.ecosecurities.com,,,,,,,,,,,
Economist Group,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7830 7000,,,,,,,,,,,,,,
Edelman PR Worldwide,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7344 1200,,,,,,,,,,,,,,
Edenbrook,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(0) 20 8528 1025,(0) 20 8528 1200,,www.edenbrook.co.uk,,,,,,,,,,,
EDF Energy,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
EDF Energy,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8298  8188,,,,,,,,,,,,,,
Edric Audio Visual,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01454 275 501,,,,,,,,,,,,,,
EDUCATIONAL COMMUNICATIONS,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Effortless I.T.,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01603 632 828,,,,,,,,,,,,,,
efm Publishing,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,7608 6508,,,http://www.efm.co.uk,,,,,,,,,,,
Egenera,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7643 2251,,,,,,,,,,,,,,
EGG Centricity,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Egg PLC,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,01332 335484,,,,,,,,,,,,,
Egmont Children Books,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
EHS Brann,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7017 1000,,,www.ehsbrann.com,,,,,,,,,,,
EHS Brann,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 0171000,,,www.ehsbrann.com/,,,,,,,,,,,
Eightacre Limited,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01268 592000,01268 592001,,www.eightacre.com,,,,,,,,,,,
Einstein Network,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7693 7788,,,www.einstein-network.com,,,,,,,,,,,
Eiris Services,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7840 5700,,,,,,,,,,,,,,
ELC Solicitors,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8566 4045,,,,,,,,,,,,,,
Electric Paper,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,+353 1 289 1989,,,,,,,,,,,,,,
Electrician,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Elite Advertising,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Elite Spanish Properties,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01487 741111,,,,,,,,,,,,,,
Elizabeth Avenue Group Practice,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7226 6363,020 7226 5048,,,,,,,,,,,,,
Elizabeth Hindmarch PR,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Elizade (Nigeria) Limited - Toyota Distributor,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(234) 802 314 2821,(2341) 4936846,,,,,,,,,,,,,
"Elliott Group, The",Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01543 404040,,,www.elliott-group.co.uk,,,,,,,,,,,
Ellis Fairbank plc,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0113 259 3000,0)870 011 0883,,,,,,,,,,,,,
Elsevier,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01865 843000,,,www.elservier.com,,,,,,,,,,,
Elstree Computing,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
EMAP 21,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01772 477 700,,,,,,,,,,,,,,
EMAP Active,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
EMAP Active2,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01733 468 000,,,,,,,,,,,,,,
EMAP Active3,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01733 468 000,,,,,,,,,,,,,,
EMAP Business Publishling Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7841 6600,,,,,,,,,,,,,,
Emap Communications,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7841 6600,,,,,,,,,,,,,,
EMAP Connect Group,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0171 505 6600 / 01202 432 121 (Bournemouth office),,,,,,,,,,,,,,
Emap Consumer Media,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0171 437 9011,,,,,,,,,,,,,,
Emap Digital,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0171 278 1452,,,,,,,,,,,,,,
EMAP Elan,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0171 437 9011,0171 208 3709,,,,,,,,,,,,,
EMAP Images Ltd.,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0171 972 6700,0171 972 6710,,,,,,,,,,,,,
EMAP Metro,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
EMAP Metro Online,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
EMAP on Air,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0171 504 6000,,,,,,,,,,,,,,
EMAP People,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0161 288 5000,,,,,,,,,,,,,,
Emap Radio,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(0) 161 288 5000,,,,,,,,,,,,,,
Embassy O F Paraguay,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
EMDS Consulting,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7421 2400,,,http://www.emdsnet.com,,,,,,,,,,,
Emperor Design,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7729 9090,,,,,,,,,,,,,,
EN & Company (UK) Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0845 2262725,,info@enuk.co.uk,www.enuk.co.uk,,,,,,,,,,,
ENCAMS Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP, 01942 824620,,,,,,,,,,,,,,
Energy Bank,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7650 0718,,,www.theenergybank.com,,,,,,,,,,,
Energy Industries Counciley,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(0)20 7221 2043,(0)20 7221 8813,,,,,,,,,,,,Import,
Energy Industries Councilhg,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(0)20 7221 2043,(0)20 7221 8813,,www.the-eic.com,,,,,,,,,,Import,
Energy Information Centre,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(0)20 7827 9977,,,www.metalbulletin.plc.uk,,,,,,,,,,,
England Netball,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01462 428319,,,,,,,,,,,,,,
English Churches Housing Group,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8203 9233,,,www.echg.org.uk,,,,,,,,,,,
English Heritage,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7973 300,,,,,,,,,,,,,,
Enigma Health,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01932 589904,01932 868917,,http://www.enigmahealth.com,,,,,,,,,,,
Ennstone Precast Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01952 630300,,,www.ennstone.co.uk,,,,,,,,,,,
Ensign Security,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0208 856 5982,,,,,,,,,,,,,,
Enterprise IG Brand Experience,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Enterprise Ireland,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7318 7619,020 7491 7170,,www.enterprise-ireland.com,,,,,,,,,,,
Enterprise Ireland (2),Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,+(353 1) 808 2000,+(353 1) 808 2020,,www.enterprise-ireland.com,,,,,,,,,,,
Enterprise Managed Services Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01772 819 000,,,,,,,,,,,,,,
Entertainment Rights Plc,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(0) 20 8762 6200,(0) 20 8762 6299,,http://www.entertainmentrights.com/,,,,,,,,,,,
Environment Council,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7836 2626,,,,,,,,,,,,,,
Environmental Services Association,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,7824 8882,,,,,,,,,,,,,,
Environmental Technology (Publications) Limited,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01727 855574,01727 840310,,www.envirotechpubs.com,,,,,,,,,,,
Environmental Technology Publications Limited,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01727 855574,01727 841694,,www.envirotechpubs.com,,,,,,,,,,,
Envision Global,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(0)207 220 7900,(0)870 130 1740,,,,,,,,,,,,,
EPI-USE,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8332 8787,,,www.epiuse.co.uk,,,,,,,,,,,
Epsilon SA ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01438 791093,,,,,,,,,,,,,,
EQ Training & Development,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP," 6-03-2282 5499
Fax",: 6-03-2282 6499,shankar@eqcopthorne.com,,,,,,,,,,,,
Equant,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01483 521 324,,,,,,,,,,,,,,
Equant (Prev Global One),Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7 522 6818 (?),,,,,,,,,,,,,,
Equimedia,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01793 715440,,,www.equimedia.co.uk,,,,,,,,,,,
Equion Facilities Management Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8284 8388,,,,,,,,,,,,,,
Ernst & Young,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7951 2000,,,www.ey.com/uk/gto,,,,,,,,,,,
Ernst and Julio Gallo,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
ESA Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7580 5886,020 7612 9200,,,,,,,,,,,,,
Escape Global Solutions,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0870 737 0003,,,,,,,,,,,,,,
ESOMAR,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,+31-20-664 21 41,+31-20-664 29 22,,www.esomar.org,,,,,,,,,,,
ESOP Learning,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,+82 2 337 2671,,,,,,,,,,,,,,
Espresso Education,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Essential Publishing,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01206 851117,01206 849078,,www.essentialpublishing.co.uk,,,,,,,,,,,
Essex County Council,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,www.essexcc.gov.uk,,,,,,,,,,,
Essex Radio,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Esteem Systems Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01937 861000,01937 841234,,www.esteem.co.uk,,,,,,,,,,,
Esterform Packaging,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01584 810 600,01584 810 213,,http://www.able-industries.co.uk,,,,,,,,,,,
esure,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01737 222 322,,,,,,,,,,,,,,
Ethnic Media Group,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7650 2000,,,,,,,,,,,,,,
Etoile Media Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
ETP,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 4900049,,,,,,,,,,,,,,
Euler Trade Indemnity,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7860 1269,,,,,,,,,,,,,,
Eulogy,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7927 9999,,,http://www.eulogy.co.uk,,,,,,,,,,,
Eumetsat,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,++ 49 (0) 6151 807 823,,,www,,,,,,,,,,,
Eumetsat,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,49 6151 807 820,49 6151 807 829,,,,,,,,,,,,,
Euphony Communications Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01256 857 000,,,www.euphony.co.uk,,,,,,,,,,,
Eurest,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0208 651 3511,,,,,,,,,,,,,,
EURO LONDON APPOINTMENTS,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Euro RSCG Wnek Gosper,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0171 240 4111,,,,,,,,,,,,,,
Eurocash Corporation PLC,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Euroclear,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,+32 (0)2 224 1211,+32 (0)2 224 1287,,,,,,,,,,,,,
Eurolink Global,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0113 241 6888,,,,,,,,,,,,,,
Euromoney,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Europdata Connect,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 0056555,,,,,,,,,,,,,,
European Broadcast Finance,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01895 824 433,,,,,,,,,,,,,,
European Energy Consulting,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,+44 (0) 1372 817714,,,,,,,,,,,,,,
European Investor Relations,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
European Press Limited,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7583 9797,,,,,,,,,,,,,,
European Telecommunications and Technology,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Eurostar,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Evening Standard & ES Magazine,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7938 6000,,,,,,,,,,,,,,
Eventful Publishing Company Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP, 020 7324 4800,020 7324 4801, info@eventfulpublishing.co.uk,www.eventfulpublishing.co.uk,,,,,,,,,,,
Evergreen Trust,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Eversheds,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0121 232 1000,,,,,,,,,,,,,,
Evesham.com,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01223 323 898,,,,,,,,,,,,,,
evo,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,evolutiondb@hotmail.co.uk,,,,Mr,fgd,fgdfg,,,,,Import,
Evolve Events,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Excel Resources,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Executive Learning Systems,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01962 857 300,,,http://www.theccgroup.com,,,,,,,,,,,
Exel Pakistan (Pvt) Ltd.,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,+92 333 3486068,,,,,,,,,,,,,,
Experian (Accounts),Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0115 941 0888,0115 976 8336,,,,,,,,,,,,,
Experian Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0115 941 0888,,,,,,,,,,,,,,
Experian Marketing Services,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0115 941 0888,0115 986 0801,,,,,,,,,,,,,
Exploration Logistics,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01594 545 100,,,www.exlogs.com,,,,,,,,,,,
Expose Design,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Express & Star,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01902 313131,,,www.expressandstar.co.uk,,,,,,,,,,,
Express Dairies,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01159 738500,,,,,,,,,,,,,,
Express National Carriers,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7403 3333,,,,,,,,,,,,,,
Express Newspapers Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 928 8000,0171 922 2990 (dir.),,,,,,,,,,,,,
Extronics,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
ExWyZee,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01253 313 397,,,,,,,,,,,,,,
Eye Clinic,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Eye Clinic,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0800 783 5555,,,,,,,,,,,,,,
